date,athlete,energy (J/kg),min_from_start,duration_min,energy_per_min,from_time,gd,last_gd,betting_position
match1,athlete1,2798,39.0,5.0,559.6,34.0,1,0,close
match1,athlete1,2840,44.0,5.0,568.0,39.0,1,0,close
match1,athlete1,1548,49.0,5.0,309.6,44.0,2,1,close
match1,athlete1,2358,54.0,5.0,471.6,49.0,2,1,close
match1,athlete1,3203,59.0,5.0,640.6,54.0,1,2,close
match1,athlete1,2840,64.0,5.0,568.0,59.0,1,2,close
match1,athlete1,2115,69.0,5.0,423.0,64.0,1,2,close
match1,athlete1,2681,74.0,5.0,536.2,69.0,1,2,close
match1,athlete1,2673,79.0,5.0,534.6,74.0,1,2,close
match1,athlete1,1419,84.0,5.0,283.8,79.0,1,2,close
match1,athlete1,2606,89.0,5.0,521.2,84.0,1,2,close
match1,athlete1,2192,94.0,5.0,438.4,89.0,1,2,close
match1,athlete1,1337,99.0,5.0,267.4,94.0,1,2,close
match1,athlete1,1589,103.0,4.0,397.25,99.0,1,2,close
match5,athlete1,1997,5.0,5.0,399.4,0.0,0,0,favorite
match5,athlete1,2804,10.0,5.0,560.8,5.0,0,0,favorite
match5,athlete1,3303,15.0,5.0,660.6,10.0,0,0,favorite
match5,athlete1,1724,20.0,5.0,344.8,15.0,0,0,favorite
match5,athlete1,2444,25.0,5.0,488.8,20.0,0,0,favorite
match5,athlete1,2143,30.0,5.0,428.6,25.0,0,0,favorite
match5,athlete1,1758,35.0,5.0,351.6,30.0,0,0,favorite
match5,athlete1,2577,40.0,5.0,515.4,35.0,0,0,favorite
match5,athlete1,2519,45.0,5.0,503.8,40.0,0,0,favorite
match5,athlete1,1900,49.0,4.0,475.0,45.0,0,0,favorite
match5,athlete1,2710,54.0,5.0,542.0,49.0,0,0,favorite
match5,athlete1,2840,59.0,5.0,568.0,54.0,0,0,favorite
match5,athlete1,1150,64.0,5.0,230.0,59.0,0,0,favorite
match5,athlete1,2389,69.0,5.0,477.8,64.0,-1,0,favorite
match5,athlete1,1825,74.0,5.0,365.0,69.0,-1,0,favorite
match5,athlete1,2638,79.0,5.0,527.6,74.0,-1,0,favorite
match5,athlete1,2540,84.0,5.0,508.0,79.0,0,-1,favorite
match5,athlete1,1677,89.0,5.0,335.4,84.0,0,-1,favorite
match5,athlete1,2586,94.0,5.0,517.2,89.0,1,0,favorite
match5,athlete1,1292,97.0,3.0,430.6666666666667,94.0,1,0,favorite
match11,athlete1,2831,5.0,5.0,566.2,0.0,0,0,favorite
match11,athlete1,2971,10.0,5.0,594.2,5.0,0,0,favorite
match11,athlete1,2624,15.0,5.0,524.8,10.0,0,0,favorite
match11,athlete1,2479,20.0,5.0,495.8,15.0,0,0,favorite
match11,athlete1,2064,25.0,5.0,412.8,20.0,0,0,favorite
match11,athlete1,2112,30.0,5.0,422.4,25.0,0,0,favorite
match11,athlete1,2157,35.0,5.0,431.4,30.0,-1,0,favorite
match11,athlete1,2516,40.0,5.0,503.2,35.0,-1,0,favorite
match11,athlete1,2232,45.0,5.0,446.4,40.0,-2,-1,favorite
match11,athlete1,1131,50.0,5.0,226.2,45.0,-2,-1,favorite
match11,athlete1,2925,55.0,5.0,585.0,50.0,-2,-1,favorite
match11,athlete1,3164,60.0,5.0,632.8,55.0,-2,-1,favorite
match11,athlete1,2429,65.0,5.0,485.8,60.0,0,-2,favorite
match11,athlete1,2251,70.0,5.0,450.2,65.0,0,-2,favorite
match11,athlete1,2396,75.0,5.0,479.2,70.0,0,-2,favorite
match11,athlete1,2105,80.0,5.0,421.0,75.0,0,-2,favorite
match11,athlete1,2129,85.0,5.0,425.8,80.0,0,-2,favorite
match11,athlete1,2112,90.0,5.0,422.4,85.0,0,-2,favorite
match11,athlete1,1883,94.0,5.0,376.6,89.0,0,-2,favorite
match11,athlete1,1060,100.0,5.0,212.0,95.0,0,-2,favorite
match11,athlete1,1027,104.0,5.0,205.4,99.0,0,-2,favorite
match11,athlete1,476,107.0,2.0,238.0,105.0,0,-2,favorite
match9,athlete1,2840,5.0,5.0,568.0,0.0,0,0,close
match9,athlete1,2479,10.0,5.0,495.8,5.0,0,0,close
match9,athlete1,2338,15.0,5.0,467.6,10.0,0,0,close
match9,athlete1,2777,20.0,5.0,555.4,15.0,-1,0,close
match9,athlete1,2090,25.0,5.0,418.0,20.0,-1,0,close
match9,athlete1,2335,30.0,5.0,467.0,25.0,-1,0,close
match9,athlete1,2750,35.0,5.0,550.0,30.0,-1,0,close
match9,athlete1,2456,40.0,5.0,491.2,35.0,-1,0,close
match9,athlete1,2546,45.0,5.0,509.2,40.0,-1,0,close
match9,athlete1,625,50.0,5.0,125.0,45.0,-1,0,close
match9,athlete1,2418,55.0,5.0,483.6,50.0,0,-1,close
match9,athlete1,1898,60.0,5.0,379.6,55.0,0,-1,close
match9,athlete1,2429,65.0,5.0,485.8,60.0,1,0,close
match9,athlete1,1784,70.0,5.0,356.8,65.0,1,0,close
match9,athlete1,2809,75.0,5.0,561.8,70.0,1,0,close
match9,athlete1,2147,80.0,5.0,429.4,75.0,1,0,close
match9,athlete1,2396,85.0,5.0,479.2,80.0,1,0,close
match9,athlete1,2250,90.0,5.0,450.0,85.0,1,0,close
match9,athlete1,1146,93.0,3.0,382.0,90.0,1,0,close
match22,athlete1,3045,5.0,5.0,609.0,0.0,0,0,favorite
match22,athlete1,2514,10.0,5.0,502.8,5.0,0,0,favorite
match22,athlete1,2718,15.0,5.0,543.6,10.0,0,0,favorite
match22,athlete1,1775,20.0,5.0,355.0,15.0,0,0,favorite
match22,athlete1,2061,25.0,5.0,412.2,20.0,0,0,favorite
match22,athlete1,2098,30.0,5.0,419.6,25.0,0,0,favorite
match22,athlete1,2687,35.0,5.0,537.4,30.0,0,0,favorite
match22,athlete1,2053,40.0,5.0,410.6,35.0,0,0,favorite
match22,athlete1,2369,45.0,5.0,473.8,40.0,0,0,favorite
match22,athlete1,1095,47.0,2.0,547.5,45.0,2,0,favorite
match22,athlete1,2181,51.0,3.0,727.0,48.0,2,0,favorite
match30,athlete1,1985,5.0,5.0,397.0,0.0,0,0,close
match30,athlete1,3082,10.0,5.0,616.4,5.0,0,0,close
match30,athlete1,2822,15.0,5.0,564.4,10.0,1,0,close
match30,athlete1,2802,20.0,5.0,560.4,15.0,1,0,close
match30,athlete1,2742,25.0,5.0,548.4,20.0,1,0,close
match30,athlete1,3235,30.0,5.0,647.0,25.0,1,0,close
match30,athlete1,2394,35.0,5.0,478.8,30.0,1,0,close
match30,athlete1,3128,40.0,5.0,625.6,35.0,1,0,close
match30,athlete1,2236,45.0,5.0,447.2,40.0,1,0,close
match30,athlete1,1337,48.0,3.0,445.6666666666667,45.0,2,1,close
match30,athlete1,2601,53.0,5.0,520.2,48.0,2,1,close
match30,athlete1,2547,58.0,5.0,509.4,53.0,2,1,close
match30,athlete1,1966,63.0,5.0,393.2,58.0,2,1,close
match30,athlete1,1030,68.0,5.0,206.0,63.0,2,1,close
match30,athlete1,1845,73.0,5.0,369.0,68.0,1,2,close
match30,athlete1,1308,78.0,5.0,261.6,73.0,1,2,close
match30,athlete1,2242,83.0,5.0,448.4,78.0,1,2,close
match30,athlete1,2217,88.0,5.0,443.4,83.0,0,1,close
match30,athlete1,1513,93.0,5.0,302.6,88.0,0,1,close
match30,athlete1,2486,98.0,5.0,497.2,93.0,0,1,close
match27,athlete1,2441,5.0,5.0,488.2,0.0,0,0,favorite
match27,athlete1,2707,10.0,5.0,541.4,5.0,0,0,favorite
match27,athlete1,2870,15.0,5.0,574.0,10.0,0,0,favorite
match27,athlete1,2165,20.0,5.0,433.0,15.0,-1,0,favorite
match27,athlete1,3183,25.0,5.0,636.6,20.0,-1,0,favorite
match27,athlete1,2096,30.0,5.0,419.2,25.0,-1,0,favorite
match27,athlete1,2809,35.0,5.0,561.8,30.0,-1,0,favorite
match27,athlete1,2711,40.0,5.0,542.2,35.0,-1,0,favorite
match27,athlete1,2268,45.0,5.0,453.6,40.0,-1,0,favorite
match27,athlete1,2320,50.0,5.0,464.0,45.0,-1,0,favorite
match27,athlete1,206,51.0,1.0,206.0,50.0,-1,0,favorite
match13,athlete1,3375,5.0,5.0,675.0,0.0,0,0,close
match13,athlete1,2885,10.0,5.0,577.0,5.0,0,0,close
match13,athlete1,3521,15.0,5.0,704.2,10.0,0,0,close
match13,athlete1,2294,20.0,5.0,458.8,15.0,0,0,close
match13,athlete1,2461,25.0,5.0,492.2,20.0,0,0,close
match13,athlete1,3026,30.0,5.0,605.2,25.0,0,0,close
match13,athlete1,3029,35.0,5.0,605.8,30.0,0,0,close
match13,athlete1,3199,40.0,5.0,639.8,35.0,0,0,close
match13,athlete1,2499,45.0,5.0,499.8,40.0,0,0,close
match13,athlete1,800,48.0,3.0,266.6666666666667,45.0,1,0,close
match13,athlete1,2002,53.0,5.0,400.4,48.0,1,0,close
match13,athlete1,3212,58.0,5.0,642.4,53.0,1,0,close
match13,athlete1,2808,63.0,5.0,561.6,58.0,1,0,close
match13,athlete1,2714,68.0,5.0,542.8,63.0,1,0,close
match13,athlete1,2079,73.0,5.0,415.8,68.0,2,1,close
match13,athlete1,2398,78.0,5.0,479.6,73.0,2,1,close
match13,athlete1,2172,83.0,5.0,434.4,78.0,2,1,close
match13,athlete1,2096,88.0,5.0,419.2,83.0,2,1,close
match13,athlete1,2647,93.0,5.0,529.4,88.0,2,1,close
match13,athlete1,2571,98.0,5.0,514.2,93.0,2,1,close
match13,athlete1,510,103.0,5.0,102.0,98.0,2,1,close
match13,athlete1,834,104.0,1.0,834.0,103.0,2,1,close
match28,athlete1,2786,5.0,5.0,557.2,0.0,0,0,favorite
match28,athlete1,3013,10.0,5.0,602.6,5.0,0,0,favorite
match28,athlete1,2086,15.0,5.0,417.2,10.0,0,0,favorite
match28,athlete1,2314,20.0,5.0,462.8,15.0,0,0,favorite
match28,athlete1,2684,25.0,5.0,536.8,20.0,0,0,favorite
match28,athlete1,1669,30.0,5.0,333.8,25.0,0,0,favorite
match28,athlete1,2310,35.0,5.0,462.0,30.0,0,0,favorite
match28,athlete1,2207,40.0,5.0,441.4,35.0,0,0,favorite
match28,athlete1,2497,45.0,5.0,499.4,40.0,0,0,favorite
match28,athlete1,1088,47.0,3.0,362.6666666666667,44.0,0,0,favorite
match28,athlete1,2475,52.0,5.0,495.0,47.0,1,0,favorite
match28,athlete1,2686,57.0,5.0,537.2,52.0,1,0,favorite
match28,athlete1,2844,62.0,5.0,568.8,57.0,1,0,favorite
match28,athlete1,2431,67.0,5.0,486.2,62.0,1,0,favorite
match28,athlete1,2229,72.0,5.0,445.8,67.0,1,0,favorite
match28,athlete1,1900,77.0,5.0,380.0,72.0,1,0,favorite
match28,athlete1,2397,82.0,5.0,479.4,77.0,1,0,favorite
match28,athlete1,2708,87.0,5.0,541.6,82.0,1,0,favorite
match28,athlete1,1839,92.0,5.0,367.8,87.0,1,0,favorite
match28,athlete1,1765,97.0,5.0,353.0,92.0,1,0,favorite
match20,athlete1,2506,5.0,5.0,501.2,0.0,0,0,favorite
match20,athlete1,3014,10.0,5.0,602.8,5.0,0,0,favorite
match20,athlete1,2588,15.0,5.0,517.6,10.0,0,0,favorite
match20,athlete1,2851,20.0,5.0,570.2,15.0,0,0,favorite
match20,athlete1,2860,25.0,5.0,572.0,20.0,0,0,favorite
match20,athlete1,2639,30.0,5.0,527.8,25.0,0,0,favorite
match20,athlete1,2431,35.0,5.0,486.2,30.0,0,0,favorite
match20,athlete1,2712,40.0,5.0,542.4,35.0,0,0,favorite
match20,athlete1,2433,45.0,5.0,486.6,40.0,0,0,favorite
match20,athlete1,418,47.0,2.0,209.0,45.0,-1,0,favorite
match20,athlete1,2769,52.0,5.0,553.8,47.0,-1,0,favorite
match20,athlete1,2221,57.0,5.0,444.2,52.0,-1,0,favorite
match20,athlete1,2659,62.0,5.0,531.8,57.0,0,-1,favorite
match20,athlete1,2711,67.0,5.0,542.2,62.0,0,-1,favorite
match20,athlete1,2098,72.0,5.0,419.6,67.0,0,-1,favorite
match20,athlete1,1703,77.0,5.0,340.6,72.0,0,-1,favorite
match20,athlete1,1519,82.0,5.0,303.8,77.0,0,-1,favorite
match20,athlete1,1604,87.0,5.0,320.8,82.0,0,-1,favorite
match20,athlete1,2912,92.0,5.0,582.4,87.0,0,-1,favorite
match20,athlete1,3033,97.0,5.0,606.6,92.0,-1,0,favorite
match20,athlete1,384,102.0,5.0,76.8,97.0,-1,0,favorite
match19,athlete1,3401,5.0,5.0,680.2,0.0,0,0,close
match19,athlete1,2568,10.0,5.0,513.6,5.0,0,0,close
match19,athlete1,2903,15.0,5.0,580.6,10.0,0,0,close
match19,athlete1,2509,20.0,5.0,501.8,15.0,0,0,close
match19,athlete1,2276,25.0,5.0,455.2,20.0,0,0,close
match19,athlete1,2230,30.0,5.0,446.0,25.0,0,0,close
match19,athlete1,3112,35.0,5.0,622.4,30.0,0,0,close
match19,athlete1,2155,40.0,5.0,431.0,35.0,0,0,close
match19,athlete1,1959,45.0,5.0,391.8,40.0,0,0,close
match19,athlete1,556,47.0,2.0,278.0,45.0,0,0,close
match19,athlete1,2712,52.0,5.0,542.4,47.0,0,0,close
match19,athlete1,1907,57.0,5.0,381.4,52.0,0,0,close
match19,athlete1,2624,62.0,5.0,524.8,57.0,0,0,close
match19,athlete1,2447,67.0,5.0,489.4,62.0,0,0,close
match19,athlete1,1563,72.0,5.0,312.6,67.0,0,0,close
match19,athlete1,2201,77.0,5.0,440.2,72.0,0,0,close
match19,athlete1,1870,82.0,5.0,374.0,77.0,0,0,close
match19,athlete1,2485,87.0,5.0,497.0,82.0,0,0,close
match19,athlete1,1930,92.0,5.0,386.0,87.0,0,0,close
match19,athlete1,1148,95.0,3.0,382.6666666666667,92.0,0,0,close
match17,athlete1,1427,4.0,4.0,356.75,0.0,0,0,favorite
match17,athlete1,2299,9.0,5.0,459.8,4.0,0,0,favorite
match17,athlete1,2152,14.0,5.0,430.4,9.0,0,0,favorite
match17,athlete1,2277,19.0,5.0,455.4,14.0,0,0,favorite
match17,athlete1,1896,24.0,5.0,379.2,19.0,0,0,favorite
match17,athlete1,2027,29.0,5.0,405.4,24.0,0,0,favorite
match17,athlete1,1441,32.0,3.0,480.3333333333333,29.0,0,0,favorite
match2,athlete1,1371,2.0,2.0,685.5,0.0,0,0,underdog
match2,athlete1,3054,7.0,5.0,610.8,2.0,0,0,underdog
match2,athlete1,2515,12.0,5.0,503.0,7.0,0,0,underdog
match2,athlete1,3544,17.0,5.0,708.8,12.0,0,0,underdog
match2,athlete1,2373,22.0,5.0,474.6,17.0,0,0,underdog
match2,athlete1,2804,27.0,5.0,560.8,22.0,-1,0,underdog
match2,athlete1,2054,32.0,5.0,410.8,27.0,-1,0,underdog
match2,athlete1,1488,37.0,5.0,297.6,32.0,-1,0,underdog
match16,athlete1,2544,4.0,4.0,636.0,0.0,0,0,favorite
match16,athlete1,2892,9.0,5.0,578.4,4.0,0,0,favorite
match16,athlete1,2808,14.0,5.0,561.6,9.0,0,0,favorite
match16,athlete1,2914,19.0,5.0,582.8,14.0,0,0,favorite
match16,athlete1,3139,24.0,5.0,627.8,19.0,0,0,favorite
match16,athlete1,2830,29.0,5.0,566.0,24.0,0,0,favorite
match16,athlete1,2714,34.0,5.0,542.8,29.0,1,0,favorite
match16,athlete1,3322,39.0,5.0,664.4,34.0,1,0,favorite
match16,athlete1,2544,44.0,5.0,508.8,39.0,2,1,favorite
match16,athlete1,1503,47.0,3.0,501.0,44.0,2,1,favorite
match16,athlete1,2143,50.0,4.0,535.75,46.0,2,1,favorite
match16,athlete1,2976,55.0,5.0,595.2,50.0,2,1,favorite
match16,athlete1,2294,60.0,5.0,458.8,55.0,2,1,favorite
match16,athlete1,2382,65.0,5.0,476.4,60.0,2,1,favorite
match16,athlete1,2368,70.0,5.0,473.6,65.0,2,1,favorite
match16,athlete1,2205,75.0,5.0,441.0,70.0,2,1,favorite
match16,athlete1,1240,80.0,4.0,310.0,76.0,2,1,favorite
match31,athlete1,2816,5.0,5.0,563.2,0.0,0,0,close
match31,athlete1,2462,10.0,5.0,492.4,5.0,0,0,close
match31,athlete1,2961,15.0,5.0,592.2,10.0,0,0,close
match31,athlete1,2930,20.0,5.0,586.0,15.0,0,0,close
match31,athlete1,3290,25.0,5.0,658.0,20.0,0,0,close
match31,athlete1,2333,30.0,5.0,466.6,25.0,0,0,close
match31,athlete1,3072,35.0,5.0,614.4,30.0,0,0,close
match31,athlete1,2857,40.0,5.0,571.4,35.0,0,0,close
match31,athlete1,1507,45.0,5.0,301.4,40.0,0,0,close
match31,athlete1,2820,50.0,5.0,564.0,45.0,0,0,close
match31,athlete1,2530,55.0,5.0,506.0,50.0,0,0,close
match31,athlete1,2850,60.0,5.0,570.0,55.0,0,0,close
match31,athlete1,2806,65.0,5.0,561.2,60.0,0,0,close
match31,athlete1,2328,70.0,5.0,465.6,65.0,0,0,close
match31,athlete1,2000,75.0,5.0,400.0,70.0,0,0,close
match31,athlete1,3178,80.0,5.0,635.6,75.0,0,0,close
match31,athlete1,1918,85.0,5.0,383.6,80.0,0,0,close
match31,athlete1,1165,90.0,5.0,233.0,85.0,0,0,close
match31,athlete1,1566,94.0,4.0,391.5,90.0,0,0,close
match12,athlete1,2746,5.0,5.0,549.2,0.0,0,0,favorite
match12,athlete1,3419,10.0,5.0,683.8,5.0,0,0,favorite
match12,athlete1,2959,15.0,5.0,591.8,10.0,0,0,favorite
match12,athlete1,2926,20.0,5.0,585.2,15.0,0,0,favorite
match12,athlete1,1683,25.0,5.0,336.6,20.0,1,0,favorite
match12,athlete1,308,30.0,5.0,61.6,25.0,1,0,favorite
match12,athlete1,3459,35.0,5.0,691.8,30.0,1,0,favorite
match12,athlete1,2251,40.0,5.0,450.2,35.0,2,1,favorite
match12,athlete1,2773,45.0,5.0,554.6,40.0,2,1,favorite
match12,athlete1,2603,50.0,5.0,520.6,45.0,2,1,favorite
match12,athlete1,1773,53.0,3.0,591.0,50.0,2,1,favorite
match12,athlete1,2211,58.0,5.0,442.2,53.0,2,1,favorite
match12,athlete1,2298,63.0,5.0,459.6,58.0,2,1,favorite
match12,athlete1,2062,68.0,5.0,412.4,63.0,2,1,favorite
match12,athlete1,2495,73.0,5.0,499.0,68.0,2,1,favorite
match12,athlete1,2213,78.0,5.0,442.6,73.0,2,1,favorite
match12,athlete1,2315,83.0,5.0,463.0,78.0,2,1,favorite
match12,athlete1,2166,88.0,5.0,433.2,83.0,2,1,favorite
match12,athlete1,1903,93.0,5.0,380.6,88.0,2,1,favorite
match12,athlete1,2164,98.0,5.0,432.8,93.0,2,1,favorite
match12,athlete1,1455,102.0,4.0,363.75,98.0,2,1,favorite
match10,athlete1,1996,4.0,4.0,499.0,0.0,0,0,close
match10,athlete1,2054,9.0,5.0,410.8,4.0,0,0,close
match10,athlete1,2487,14.0,5.0,497.4,9.0,0,0,close
match10,athlete1,2187,19.0,5.0,437.4,14.0,0,0,close
match10,athlete1,2342,24.0,5.0,468.4,19.0,1,0,close
match10,athlete1,2269,29.0,5.0,453.8,24.0,1,0,close
match10,athlete1,2774,34.0,5.0,554.8,29.0,1,0,close
match10,athlete1,1938,39.0,5.0,387.6,34.0,2,1,close
match10,athlete1,2401,44.0,5.0,480.2,39.0,2,1,close
match10,athlete1,2709,49.0,5.0,541.8,44.0,2,1,close
match10,athlete1,1396,53.0,4.0,349.0,49.0,2,1,close
match10,athlete1,3206,58.0,5.0,641.2,53.0,2,1,close
match10,athlete1,2771,63.0,5.0,554.2,58.0,2,1,close
match10,athlete1,2594,68.0,5.0,518.8,63.0,2,1,close
match10,athlete1,3185,73.0,5.0,637.0,68.0,2,1,close
match14,athlete1,1932,5.0,5.0,386.4,0.0,0,0,favorite
match14,athlete1,2535,10.0,5.0,507.0,5.0,0,0,favorite
match14,athlete1,2795,15.0,5.0,559.0,10.0,0,0,favorite
match14,athlete1,2724,20.0,5.0,544.8,15.0,0,0,favorite
match14,athlete1,2614,25.0,5.0,522.8,20.0,0,0,favorite
match14,athlete1,2347,30.0,5.0,469.4,25.0,0,0,favorite
match14,athlete1,2341,35.0,5.0,468.2,30.0,0,0,favorite
match14,athlete1,2288,40.0,5.0,457.6,35.0,0,0,favorite
match14,athlete1,1341,45.0,5.0,268.2,40.0,0,0,favorite
match14,athlete1,1334,48.0,3.0,444.6666666666667,45.0,0,0,favorite
match14,athlete1,2790,52.0,4.0,697.5,48.0,0,0,favorite
match14,athlete1,3230,56.0,4.0,807.5,52.0,0,0,favorite
match23,athlete1,366,1.0,1.0,366.0,0.0,0,0,favorite
match23,athlete1,3071,6.0,5.0,614.2,1.0,0,0,favorite
match23,athlete1,2695,11.0,5.0,539.0,6.0,0,0,favorite
match23,athlete1,3036,16.0,5.0,607.2,11.0,0,0,favorite
match23,athlete1,2853,21.0,5.0,570.6,16.0,0,0,favorite
match23,athlete1,2512,26.0,5.0,502.4,21.0,0,0,favorite
match23,athlete1,1201,31.0,5.0,240.2,26.0,-1,0,favorite
match23,athlete1,2728,36.0,5.0,545.6,31.0,-1,0,favorite
match23,athlete1,2382,41.0,5.0,476.4,36.0,-1,0,favorite
match23,athlete1,1940,46.0,5.0,388.0,41.0,-1,0,favorite
match23,athlete1,494,48.0,2.0,247.0,46.0,-1,0,favorite
match4,athlete1,1876,5.0,5.0,375.2,0.0,0,0,close
match4,athlete1,3427,10.0,5.0,685.4,5.0,0,0,close
match4,athlete1,2895,15.0,5.0,579.0,10.0,0,0,close
match4,athlete1,3297,20.0,5.0,659.4,15.0,0,0,close
match4,athlete1,2335,25.0,5.0,467.0,20.0,0,0,close
match4,athlete1,2484,30.0,5.0,496.8,25.0,0,0,close
match4,athlete1,3102,35.0,5.0,620.4,30.0,0,0,close
match4,athlete1,2613,40.0,5.0,522.6,35.0,0,0,close
match4,athlete1,3052,45.0,5.0,610.4,40.0,0,0,close
match4,athlete1,2246,49.0,4.0,561.5,45.0,0,0,close
